job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Tax Accounting;PT Hakiki Donarta;Surabaya;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;Pendidikan min S1 Accounting / Perpajakan Mampu bekerja team Pengalaman Min 1 th (disukai) Teliti, Detail, Mampu bekerja deadline Memahami aplikasi perpajakan (e-Faktur, e-SPT);Penyusunan laporan pajak : Menyiapkan, Menghitung dan melaporkan SPT masa dan tahunan (PPh 21, 23,25, 4 ayat 2, PPN dan PPh Badan) Tax Planning Audit Pemantauan Regulasi Rekonsiliasi Fiskal;2026-05-13;Karir.com
Promotor (Demak);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-12;Karir.com
Promotor (Semarang);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Promotor.;2026-05-12;Karir.com
Sales Canvasser (Kediri);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser.;2026-05-12;Karir.com
Manager Property;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;3 Tahun;S1;Tidak dicantumkan;Pendidikan Min S1 Pengalaman minimal 2 tahun di bidang properti Memiliki Kemampuan komunikasi & negosiasi Kemampuan interpersonal yang baik untuk berurusan dengan penyewa dan kontraktor.;Mencari, menyeleksi, dan mengelola hubungan dengan penyewa. Menangani keluhan dan proses pengosongan. Mengatur jadwal perawatan rutin, perbaikan darurat, dan mengelola vendor/staf kebersihan. Menyusun anggaran, menagih uang sewa, mengelola biaya operasional, dan memaksimalkan pendapatan bersih properti (NOI) Menetapkan tarif sewa yang kompetitif dan memasarkan properti untuk meminimalkan kekosongan. Memastikan properti mematuhi peraturan pemerintah, zonasi, dan standar keselamatan. Mampu menangani beberapa tugas dan properti secara bersamaan. Pemahaman tentang penganggaran dan laporan keuangan. Pengetahuan tentang pemeliharaan bangunan dan perangkat lunak manajemen properti.;2026-05-12;Karir.com
Microsoft Dynamics AX / 365 ERP Finance and Operations Technical Staff;PT Daya Medika Pratama;Bandung;Tidak Disebutkan;5 Tahun;S2, S1, D3;Rp 6.000.000 - Rp 13.000.000;Microsoft Dynamics AX, D365 F&O, X++, SSRS/ Power BI/ Azure;"Demonstrates strong coding skill using Dynamics AX X++ and its related technologies/tools.
 Experienced in AX 2012 and its latest releases
 Reviews Functional design of given business requirements for technical solution and detailed technical design (TDD)
 Produces high quality TDD document as per set standards and templates
 Drive/Assist Technical design on the GAP requirements with other technical teams to ensure technical quality is consistent
 Engage in discussions with functional consultants for design clarifications
 Work closely with rest of development teams to assist them in development to adhere to project timelines
 Ensures no deadlines of projects are slipped and takes ownership for given deadlines
 Delivers high quality X++ code with defined quality standards and guidelines
 Expected to be flexible with time and leverage offshore teams effectively
 Exposure to use TFS as collaboration tool and code management process
 Reports his/her progress periodically to lead/project manager and assists them in reporting. Works with minimal supervision and self-driven
 Should be able to demonstrate confidence of quickly taking over development work in more scope based model than continue in staff augmentation mode.";2026-05-12;Karir.com
Building Manager Semarang;PT Pesonna Indonesia Jaya;Jakarta Pusat;Tidak Disebutkan;1 Tahun;S1, D3;Rp 7.000.000 - Rp 10.000.000;Minimal S1 di bidang Teknik Sipil, Teknik Mesin, Teknik Elektro, Manajemen Properti, atau bidang terkait. Memiliki sertifikasi tambahan di bidang Building Management, Fire Safety, K3, atau MEP menjadi nilai tambah. Memahami regulasi keselamatan kerja (K3), keamanan gedung, dan prosedur tanggap darurat. Memahami prosedur preventive & corrective maintenance. Mampu menyusun SOP, jadwal kerja, dan laporan manajemen. Sikap profesional, ramah, dan mampu menangani keluhan dengan diplomasi. Tahan terhadap tekanan dan mampu bekerja dengan tenggat waktu. Domisili WAJIB area SEMARANG Perusahaan tidak memfasilitasi mess/tempat tinggal dan tidak ada biaya transport;Memastikan seluruh operasional gedung berjalan lancar, termasuk fasilitas umum, keamanan, kebersihan, dan kenyamanan. Mengawasi pemeliharaan rutin, perbaikan, serta perawatan sistem mekanikal, elektrikal, plumbing (MEP), dan peralatan gedung lainnya. Menjalin komunikasi efektif dengan tenant terkait keluhan, permintaan layanan, dan kebutuhan tambahan. Membuat laporan rutin terkait operasional, keuangan, perawatan, serta kondisi umum gedung kepada manajemen pusat. Memastikan vendor bekerja sesuai kontrak dan standar layanan. Mengidentifikasi peluang pengembangan dan peningkatan layanan di area pengelolaan gedung. Membina, mengarahkan, dan mengevaluasi kinerja tim operasional gedung.;2026-05-12;Karir.com
Cook Padang;PT Pesonna Indonesia Jaya;Denpasar;Tidak Disebutkan;1 Tahun;D3, SMA;Rp 3.000.000 - Rp 3.182.955;Pengalaman kerja sebagai Cook minimal 1 tahun. Kemampuan mengoperasikan peralatan dapur. Kemampuan bekerja dalam tim dan memiliki semangat kerja yang tinggi. Kemampuan mengikuti prosedur keamanan dan kesehatan makanan. Domisili area Padang (DIUTAMAKAN);Menjamin kualitas dan keselamatan makanan yang disajikan. Mengelola waktu dan prioritas dengan baik untuk memastikan makanan disajikan tepat waktu. Mengawasi dan mengontrol biaya bahan-bahan makanan dan peralatan dapur. Mengikuti prosedur dan standar kualitas yang telah ditetapkan;2026-05-12;Karir.com
Teknisi Jakarta;PT Pesonna Indonesia Jaya;Jakarta Pusat;Tidak Disebutkan;2 Tahun;S1, D3, SMA;Rp 5.500.000 - Rp 6.000.000;"DOMISI JAKARTA & SEKITARNYA Minimal D3/S1 Teknik Elektro/Listrik (atau bidang terkait). Memiliki pengalaman sebagai teknisi minimal 1 tahun (lebih disukai di gedung atau properti). Memahami sistem Mechanical, Electrical, dan Plumbing (MEP).
 Mampu melakukan troubleshooting peralatan teknis.
 Mampu bekerja secara tim maupun individu.
 Memiliki sikap Jujur, disiplin, tanggung jawab, dan inisiatif yang baik. Latar belakang teknik (Elektro/Listrik) Bersedia bekerja shifting";"Melakukan perawatan dan perbaikan fasilitas gedung seperti listrik, AC, plumbing, dan peralatan teknis lainnya.
 Melaksanakan pengecekan rutin terhadap sistem Mechanical, Electrical, dan Plumbing (MEP).
 Menangani kerusakan atau gangguan teknis di area gedung dengan cepat dan tepat.
 Melakukan preventive maintenance untuk memastikan seluruh fasilitas berfungsi dengan baik.
 Melaporkan hasil pekerjaan, temuan kerusakan, dan kebutuhan perbaikan kepada SPV Engineering.
 Berkoordinasi dengan tim operasional.";2026-05-12;Karir.com
Customer Service;PT Pesonna Indonesia Jaya;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1, D3;Rp 5.729.876 - Rp 6.000.000;Memiliki kemampuan komunikasi yang baik, ramah, dan berorientasi pelayanan. Menguasai penggunaan komputer dan aplikasi dasar (Microsoft Office, WhatsApp, dan sistem kasir/CRM menjadi nilai tambah). Memiliki sikap solutif dalam menangani masalah yang ada Teliti, cepat tanggap, dan mampu bekerja di bawah tekanan. Bersedia bekerja dalam sistem shift dan di akhir pekan jika diperlukan. Jujur, disiplin, dan mampu bekerja dalam tim.;Melayani pelanggan melalui tatap muka, telepon, WhatsApp, serta media komunikasi lainnya. Memberikan informasi terkait produk (spesifikasi, harga, ketersediaan, garansi, dan promo). Menangani pertanyaan, keluhan, serta permintaan pelanggan dengan cepat dan profesional. Menginput data pelanggan dan pemesanan ke dalam sistem. Melakukan follow-up pesanan, status pengiriman, dan layanan purna jual. Mendukung tim penjualan dalam proses administrasi (pembuatan invoice, nota, dan dokumen pendukung). Mengelola dan memantau review pelanggan serta memberikan laporan harian/ mingguan kepada atasan. Memastikan area kerja tertata rapi dan standar pelayanan sesuai SOP perusahaan;2026-05-12;Karir.com
