searched_keyword;job_title;company_name;location;job_link;posted_date;source_platform
Software Engineer;Software Engineer (New Grads);Giga;New York, NY;https://www.linkedin.com/jobs/view/software-engineer-new-grads-at-giga-4374834620?position=1&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=U0K%2B8bPAyPJ3sj%2FNPZavBA%3D%3D;2026-06-12;LinkedIn
Software Engineer;Software Engineer;Microsoft;Bengaluru, Karnataka, India;https://in.linkedin.com/jobs/view/software-engineer-at-microsoft-4366861071?position=3&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=scXWcAK0%2FvMn1g9OmmFnxw%3D%3D;2026-06-12;LinkedIn
Software Engineer;Software Engineer 1;Intuit;New York, NY;https://www.linkedin.com/jobs/view/software-engineer-1-at-intuit-4401727507?position=4&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=crdWPZg4sacschHWSyEF%2FA%3D%3D;2026-06-17;LinkedIn
Software Engineer;Software Engineer I / II;Giga;New York, NY;https://www.linkedin.com/jobs/view/software-engineer-i-ii-at-giga-4374838577?position=5&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=8CvWJ%2BXJoqQlj2QnzWFrrA%3D%3D;2026-06-12;LinkedIn
Software Engineer;Software Engineer, New Grad, Developer & End User Experience Platform;Stripe;Toronto, Ontario, Canada;https://ca.linkedin.com/jobs/view/software-engineer-new-grad-developer-end-user-experience-platform-at-stripe-4427645247?position=6&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=RLQaGlu7LtYxqFXU93r1Dg%3D%3D;2026-06-11;LinkedIn
Software Engineer;Software Engineer;Aditya Birla Capital;Maharashtra, India;https://in.linkedin.com/jobs/view/software-engineer-at-aditya-birla-capital-4416064535?position=7&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=lya7eQBkwIsLWrYgnstITg%3D%3D;2026-06-08;LinkedIn
Software Engineer;software engineer- ST, Seattle, WA;Starbucks;Seattle, WA;https://www.linkedin.com/jobs/view/software-engineer-st-seattle-wa-at-starbucks-4417565729?position=8&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=FLBLGYQL32GA3AB7q8TTGg%3D%3D;2026-06-14;LinkedIn
Software Engineer;Software Engineer, Infrastructure;Notion;Hyderabad, Telangana, India;https://in.linkedin.com/jobs/view/software-engineer-infrastructure-at-notion-4418917903?position=9&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=J2Gzijs0i2jrhtg7m9SYGQ%3D%3D;2026-06-15;LinkedIn
Software Engineer;Software Engineer I;Sony Interactive Entertainment;San Mateo, CA;https://www.linkedin.com/jobs/view/software-engineer-i-at-sony-interactive-entertainment-4414360574?position=11&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=eY0%2FoSJlrfV3Aeus3ofoXg%3D%3D;2026-06-11;LinkedIn
Software Engineer;Software Engineer - All Levels;GlossGenius;San Francisco, CA;https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286968047?position=13&pageNum=0&refId=GQMdL41W6MTL7PVSTsekWQ%3D%3D&trackingId=wDQRIMbC3ye7t4q%2Bb%2FQ6jw%3D%3D;2026-06-13;LinkedIn
